Participant ID,Teleport,xbefore,zbefore,InZone,Needs Transform,x,z,distance from previous,distance from previous with begin,Final IPD
ghy,1,0.2950627,8.067474,,,0.2950627,8.067474,0.9104181338,8.072868061,-1
ghy,1,-0.3698378,13.36644,,,-0.3698378,13.36644,5.340518078,5.340518078,-1
ghy,1,0.03823864,8.919404,,,0.03823864,8.919404,4.46572005,4.46572005,8.919485967
ghy,2,-1.944689,4.480063,,yes,1.944689,5.519937,3.897554215,5.852479798,-1
ghy,2,-0.6129957,1.098073,,yes,0.6129957,8.901927,3.63473017,3.63473017,8.923007791
ghy,3,-0.1877342,8.727228,,,-0.1877342,8.727228,0.8195658078,8.729246972,8.729246972
yfg,1,0.198329,6.935175,,,0.198329,6.935175,1.833166318,6.938010282,-1
yfg,1,0.1348671,8.105402,,,0.1348671,8.105402,1.171946519,1.171946519,8.10652396
yfg,2,-0.1014103,2.64741,,yes,0.1014103,7.35259,0.7535550841,7.353289315,-1
yfg,2,-0.02694251,1.825808,,yes,0.02694251,8.174192,0.8249698771,0.8249698771,8.174236402
yfg,3,0.06874344,7.499386,,,0.06874344,7.499386,0.6760994419,7.499701063,-1
yfg,3,0.1351451,8.337648,,,0.1351451,8.337648,0.840887841,0.840887841,8.338743213
srl,1,-0.1805644,0.3860273,no,,-0.1805644,0.3860273,7.957885664,0.4261696598,-1
srl,1,0.1017952,5.678467,yes,,0.1017952,5.678467,5.299966502,5.299966502,-1
srl,1,0.05359662,9.619847,yes,,0.05359662,9.619847,3.941674696,3.941674696,-1
srl,1,-0.6474119,8.903904,yes,,-0.6474119,8.903904,1.001991679,1.001991679,-1
srl,1,0.08808011,9.991879,yes,,0.08808011,9.991879,1.313254772,1.313254772,-1
srl,1,1.582922,9.755219,yes,,1.582922,9.755219,1.513459689,1.513459689,-1
srl,1,0.6287175,8.917799,yes,,0.6287175,8.917799,1.269558382,1.269558382,-1
srl,1,0.5109802,9.537629,yes,,0.5109802,9.537629,0.6309130691,0.6309130691,9.55130712
srl,2,-1.038808,5.891112,no,yes,1.038808,4.108888,5.454340568,4.23816973,-1
srl,2,-0.5864208,3.033764,yes,yes,0.5864208,6.966236,2.892938259,2.892938259,-1
srl,2,-0.4950508,1.27903,yes,yes,0.4950508,8.72097,1.757111234,1.757111234,-1
srl,2,-0.3737818,0.6688637,yes,yes,0.3737818,9.3311363,0.6221005417,0.6221005417,9.338619678
srl,3,-1.093105,2.549984,no,,-1.093105,2.549984,6.937995633,2.774400285,-1
srl,3,-0.3154749,5.53033,yes,,-0.3154749,5.53033,3.080125136,3.080125136,-1
srl,3,0.364145,8.310668,yes,,0.364145,8.310668,2.862195417,2.862195417,-1
srl,3,0.4738687,9.838616,yes,,0.4738687,9.838616,1.531882626,1.531882626,-1
srl,3,0.1674896,8.957439,yes,,0.1674896,8.957439,0.9329207138,0.9329207138,-1
srl,3,-0.4643405,7.195228,yes,,-0.4643405,7.195228,1.872056859,1.872056859,-1
srl,3,0.03150314,9.274179,yes,,0.03150314,9.274179,2.13726418,2.13726418,9.274232506
sre,1,-0.08643463,8.208763,yes,,-0.08643463,8.208763,1.071923771,8.209218047,-1
sre,1,-0.1323238,8.481055,yes,,-0.1323238,8.481055,0.2761317606,0.2761317606,-1
sre,1,-0.113928,8.772539,yes,,-0.113928,8.772539,0.2920639103,0.2920639103,8.773278754
sre,2,-0.210239,2.320884,yes,yes,0.210239,7.679116,1.140463985,7.681993425,-1
sre,2,0.01217136,1.146515,yes,yes,-0.01217136,8.853485,1.195244292,1.195244292,-1
sre,2,-0.03451799,1.368963,yes,yes,0.03451799,8.631037,0.2272949804,0.2272949804,8.631106023
sre,3,0.1385436,8.345392,yes,,0.1385436,8.345392,0.3039973578,8.346541916,-1
sre,3,0.06123038,8.893104,yes,,0.06123038,8.893104,0.5531417259,0.5531417259,8.893314788
thh,1,1.681342,4.862227,no,,1.681342,4.862227,4.344275665,5.144721792,-1
thh,1,0.04872039,5.199135,yes,,0.04872039,5.199135,1.667021392,1.667021392,-1
thh,1,0.02031016,7.007504,yes,,0.02031016,7.007504,1.808592155,1.808592155,-1
thh,1,-0.03112312,8.733728,yes,,-0.03112312,8.733728,1.726990064,1.726990064,-1
thh,1,-0.1514196,8.047586,yes,,-0.1514196,8.047586,0.6966075561,0.6966075561,8.049010394
thh,2,-0.902113,2.546203,yes,yes,0.902113,7.453797,1.209345408,7.508188702,-1
thh,2,-0.6103184,1.733888,yes,yes,0.6103184,8.266112,0.863133679,0.863133679,-1
thh,2,-1.000804,0.6938034,yes,yes,1.000804,9.3061966,1.110970287,1.110970287,9.359855971
thh,3,0.5696383,3.260647,no,,0.5696383,3.260647,6.060905364,3.310031216,-1
thh,3,0.1569881,8.016451,yes,,0.1569881,8.016451,4.773672787,4.773672787,-1
thh,3,-0.009499681,8.574966,yes,,-0.009499681,8.574966,0.5828011552,0.5828011552,8.574971262
yel,1,0.1367712,6.89787,yes,,0.1367712,6.89787,1.683462552,6.899225819,-1
yel,1,0.2399696,7.938935,yes,,0.2399696,7.938935,1.046167407,1.046167407,-1
yel,1,0.2883503,8.263038,yes,,0.2883503,8.263038,0.327694136,0.327694136,8.268067663
yel,2,0.355052,6.314809,no,yes,-0.355052,3.685191,4.622840001,3.702255344,-1
yel,2,0.05397862,2.84152,yes,yes,-0.05397862,7.15848,3.486313477,3.486313477,-1
yel,2,-0.02527203,2.070511,yes,yes,0.02527203,7.929489,0.7750713152,0.7750713152,7.929529272
yel,3,-0.04316962,7.657136,yes,,-0.04316962,7.657136,0.280820968,7.65725769,-1
yel,3,0.0615126,8.061781,yes,,0.0615126,8.061781,0.4179664379,0.4179664379,-1
yel,3,0.1260488,8.269243,yes,,0.1260488,8.269243,0.2172680431,0.2172680431,-1
yel,3,0.2192437,8.477347,yes,,0.2192437,8.477347,0.2280187804,0.2280187804,-1
yel,3,0.2585243,8.62835,yes,,0.2585243,8.62835,0.1560284318,0.1560284318,-1
yel,3,0.2925712,8.789289,yes,,0.2925712,8.789289,0.1645009213,0.1645009213,-1
yel,3,0.3162324,8.936695,yes,,0.3162324,8.936695,0.1492929376,0.1492929376,-1
yel,3,0.3422235,9.09239,yes,,0.3422235,9.09239,0.1578495179,0.1578495179,9.098828102
blu,1,0.2360785,7.005349,yes,,0.2360785,7.005349,2.089738476,7.009325764,-1
blu,1,0.1722262,7.78396,yes,,0.1722262,7.78396,0.7812248111,0.7812248111,-1
blu,1,0.1480609,8.477301,yes,,0.1480609,8.477301,0.6937619938,0.6937619938,8.478593885
blu,2,0.32101,8.276444,yes,,0.32101,8.276444,0.2650564575,8.282667004,-1
blu,2,0.2690739,8.383918,yes,,0.2690739,8.383918,0.1193650667,0.1193650667,-1
blu,2,0.2327368,8.570801,yes,,0.2327368,8.570801,0.1903828788,0.1903828788,8.573960357
blu,3,2.823949,0.64116,no,,2.823949,0.64116,8.34227709,2.895820108,-1
blu,3,2.571034,3.68253,no,,2.571034,3.68253,3.051867866,3.051867866,-1
blu,3,0.3648653,8.525424,yes,,0.3648653,8.525424,5.321729289,5.321729289,-1
blu,3,0.2775758,8.785993,yes,,0.2775758,8.785993,0.2748011291,0.2748011291,8.790376631
gol,1,-0.6694574,7.672487,yes,,-0.6694574,7.672487,1.461768618,7.701638136,-1
gol,1,-0.2451173,9.269377,yes,,-0.2451173,9.269377,1.652308141,1.652308141,-1
gol,1,-1.341904,8.509022,yes,,-1.341904,8.509022,1.334571389,1.334571389,-1
gol,1,-2.573752,7.726495,yes,,-2.573752,7.726495,1.459382747,1.459382747,-1
gol,1,-0.7066227,8.829115,yes,,-0.7066227,8.829115,2.16839634,2.16839634,8.857346517
gol,2,-0.2322637,2.993581,yes,yes,0.2322637,7.006419,2.050299583,7.010267729,-1
gol,2,-0.1509336,1.421382,yes,yes,0.1509336,8.578618,1.574301204,1.574301204,8.579945672
gol,3,-0.134915,7.903053,yes,,-0.134915,7.903053,0.7335512875,7.9042045,-1
gol,3,-0.08307055,9.014341,yes,,-0.08307055,9.014341,1.112496681,1.112496681,-1
gol,3,-1.127181,8.218165,yes,,-1.127181,8.218165,1.31303574,1.31303574,-1
gol,3,-0.3994333,9.26265,yes,,-0.3994333,9.26265,1.273014387,1.273014387,-1
gol,3,-0.4827281,8.111506,yes,,-0.4827281,8.111506,1.1541536,1.1541536,-1
gol,3,-0.3728845,8.682332,yes,,-0.3728845,8.682332,0.5812984937,0.5812984937,8.690335541
rua,1,-0.04766148,6.22063,yes,,-0.04766148,6.22063,2.483092175,6.220812585,-1
rua,1,0.05385256,8.208839,yes,,0.05385256,8.208839,1.990798867,1.990798867,-1
rua,1,0.05212957,9.379384,yes,,0.05212957,9.379384,1.170546268,1.170546268,-1
rua,1,0.08297336,8.085684,yes,,0.08297336,8.085684,1.294067629,1.294067629,8.086109715
rua,2,-0.03696477,3.114605,yes,yes,0.03696477,6.885395,1.20117046,6.885494223,-1
rua,2,-0.05033326,1.773488,yes,yes,0.05033326,8.226512,1.341183628,1.341183628,8.226665979
rua,3,0.04709959,7.094361,yes,,0.04709959,7.094361,1.132155618,7.094517346,-1
rua,3,0.09491503,8.348818,yes,,0.09491503,8.348818,1.255367947,1.255367947,8.349357512
swp,1,-2.54151,4.374461,no,,-2.54151,4.374461,4.769302937,5.059168125,-1
swp,1,-2.845259,8.267364,yes,,-2.845259,8.267364,3.904735231,3.904735231,-1
swp,1,-0.8990285,5.629039,yes,,-0.8990285,5.629039,3.278501482,3.278501482,-1
swp,1,-0.3937247,8.171445,yes,,-0.3937247,8.171445,2.592134294,2.592134294,8.180924919
swp,2,-0.3155481,2.683792,yes,yes,0.3155481,7.316208,1.111079759,7.323009634,-1
swp,2,-0.1498677,1.488388,yes,yes,0.1498677,8.511612,1.206830857,1.206830857,8.512931291
swp,3,-0.02865589,7.639565,yes,,-0.02865589,7.639565,0.8901329352,7.639618744,-1
swp,3,-0.0560658,8.398357,yes,,-0.0560658,8.398357,0.7592869039,0.7592869039,8.39854414
fal,1,-0.01345574,7.133739,yes,,-0.01345574,7.133739,1.265335648,7.13375169,-1
fal,1,0.1291324,8.605337,yes,,0.1291324,8.605337,1.478489787,1.478489787,-1
fal,1,0.137179,9.182606,yes,,0.137179,9.182606,0.5773250784,0.5773250784,9.183630602
fal,2,-1.222497,2.94691,yes,yes,1.222497,7.05309,2.390136723,7.158252403,-1
fal,2,-1.090463,0.4516916,yes,yes,1.090463,9.5483084,2.498709235,2.498709235,-1
fal,2,-0.456001,0.707924,yes,yes,0.456001,9.292076,0.6842492764,0.6842492764,-1
fal,2,0.5831094,0.203754,yes,yes,-0.5831094,9.796246,1.154962256,1.154962256,-1
fal,2,0.06885564,0.5594732,yes,yes,-0.06885564,9.4405268,0.6252943938,0.6252943938,9.4407779
fal,3,0.1716886,6.272914,yes,,0.1716886,6.272914,3.176732973,6.275263104,-1
fal,3,0.03845844,8.621246,yes,,0.03845844,8.621246,2.352108301,2.352108301,-1
fal,3,0.06270431,9.154527,yes,,0.06270431,9.154527,0.5338318904,0.5338318904,9.154741745
